round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,last_activation,learning_rate,loss,optimizer
50,0.041501023662276565,0.98625,0.07630663012620062,0.9828,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.041947085298597815,0.9863667,0.07625006174668669,0.9814,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04515762171708047,0.9856167,0.07659181294962764,0.9808,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04306965434225276,0.98615,0.06765652526170016,0.9812,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.0414018564124126,0.98683333,0.07924514463171363,0.9788,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.043861933620646595,0.9859667,0.08526695393025875,0.9793,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04208839607192203,0.98621666,0.08657142607495188,0.9801,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.043766891115810724,0.9854,0.08907287621870637,0.9779,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04194446422625333,0.9865,0.08160549879074097,0.9797,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04162798387464136,0.98615,0.07203934822231531,0.9799,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.05888741044327617,0.9805833,0.0709882637532428,0.9793,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06164172987919301,0.98046666,0.06713507095351816,0.981,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.059203435238450765,0.9808,0.06556938566267491,0.9797,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06410133843775839,0.9799833,0.07365308677777647,0.9795,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.060520513341762124,0.9806333,0.06187699440866709,0.9825,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06226624393835664,0.98015,0.0776827889867127,0.9784,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06082304496318102,0.9806167,0.06665399657562375,0.9808,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.059386514155194164,0.98038334,0.07513238886371255,0.9802,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06292231488507241,0.98025,0.06763896489515901,0.9818,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06210253782570362,0.9794833,0.07433313408866525,0.9787,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04480321424547583,0.98565,0.08447428148239851,0.9812,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04555782317339132,0.9859833,0.07767736121080816,0.9799,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04521541439617673,0.98543334,0.07854766119271517,0.9797,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04263433972063164,0.98691666,0.08326801372691989,0.9792,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04161354681632171,0.98646665,0.08056033715605736,0.98,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04641414387151599,0.9851,0.07253495858982205,0.9791,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04422165251492212,0.9860333,0.08348315671086311,0.9793,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.044049322078935804,0.9863,0.07827378179877996,0.9802,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04570846046165874,0.98501664,0.09660881631076336,0.9814,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04593194063132008,0.98575,0.07106893070042133,0.9811,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06401603171601891,0.9795833,0.07226992392912507,0.9797,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
